code,latitude,longitude,frequency
NONQV,40.800,18.600
NONGH,44.500,25.700
NORTB,46.100,23.600
NORGV,47.700,17.000
NOVQN,46.100,20.700
NOVZB,46.800,23.800
NOVEV,46.800,15.000
NOVFH,46.600,23.200
NOVGH,48.300,18.300
NOYBZ,48.100,17.100
NOARX,45.900,25.400
NOBAL,47.300,20.000
NOBEN,44.600,26.300
NOENT,49.100,20.500
NOEHG,44.500,25.200
NOFVG,48.400,18.900
NOGRE,46.300,25.800
NOHYV,48.500,20.500
NQNZN,48.000,17.300
NQQRE,40.500,20.300
NQANA,44.000,18.100
NQBZB,46.000,14.600
NQHXH,46.900,22.000
NQHYN,45.300,18.600
NQHYV,44.500,25.900
NQHKV,46.000,21.100
NQIRE,43.400,23.000
NTNFH,45.900,21.800
NTYVO,45.100,17.200
NTZNF,47.500,19.700
NTZRY,46.700,21.600
NTARC,45.500,23.000
NVBFN,41.900,17.200
NXVOB,44.700,19.700
NXVXN,42.500,19.600
NYNZH,47.700,18.300
NYNAH,44.500,15.300
NYNEH,44.700,26.300
NYNIB,45.100,21.000
NYRYH,42.500,19.900
NYVXB,40.800,22.400
NYVIB,45.500,14.700
NYGHF,45.000,20.000
NZRGV,44.500,25.600
NZBQN,44.500,26.500
NZBYH,43.500,15.900
NZENK,48.100,19.400
NZFVG,44.500,26.600
NZGBI,43.200,26.200
NZHTB,42.500,17.600
NANON,47.600,22.700
NANFN,44.300,22.600
NARQV,43.100,17.900
NARKN,47.900,18.500
NCEBO,44.000,25.000
NCGNA,46.400,26.300
NETBZ,45.800,15.400
NEYBA,46.400,15.000
NEZVK,45.500,14.300
NEZBK,44.700,26.400
NEANK,44.400,25.800
NEFVA,47.600,16.800
NEINX,46.700,22.800
NFXBQ,47.400,15.900
NFARY,44.500,26.300
NFGBA,48.300,17.400
ONONX,44.400,25.800
ONOVG,45.900,18.900
ONOAV,49.000,18.300
ONOBY,44.800,18.600
ONOBK,46.900,19.700
ONQBE,47.600,22.100
ONQBI,48.000,18.800
ONVFN,46.700,23.400
ONYNC,48.100,19.200
ONYOV,44.900,25.800
ONYRZ,41.500,18.700
ONYHK,47.300,19.100
ONZEB,43.400,16.600
ONZHQ,47.900,24.200
ONANI,41.700,17.000
ONAHT,45.500,16.900
ONEOH,46.300,24.300
